#x       Exact    Computed
9.250000 0.607885 0.607895
9.300000 0.572541 0.572548
9.350000 0.535766 0.535770
9.400000 0.497651 0.497651
9.450000 0.900447 0.900447
9.500000 0.899322 0.899327
9.550000 0.895949 0.895958
9.600000 0.890336 0.890349
9.650000 0.882498 0.882514
9.700000 0.872454 0.872472
9.750000 0.860230 0.860250
9.800000 0.845855 0.845876
9.850000 0.829367 0.829388
9.900000 0.810805 0.810827
9.950000 0.790217 0.790238
10.000000 0.767653 0.767674
10.050000 0.743171 0.743191
10.100000 0.716831 0.716850
10.150000 0.688700 0.688717
10.200000 0.658847 0.658863
10.250000 0.627348 0.627361
10.300000 0.594280 0.594291
10.350000 0.559727 0.559734
10.400000 0.523775 0.523779
10.450000 0.486514 0.486514
10.500000 0.877583 0.877583
10.550000 0.876486 0.876491
10.600000 0.873198 0.873208
10.650000 0.867728 0.867741
10.700000 0.860089 0.860105
10.750000 0.850301 0.850319
10.800000 0.838387 0.838406
10.850000 0.824377 0.824398
10.900000 0.808307 0.808328
10.950000 0.790217 0.790238
11.000000 0.770151 0.770173
11.050000 0.748161 0.748182
11.100000 0.724300 0.724320
11.150000 0.698629 0.698648
11.200000 0.671212 0.671230
11.250000 0.642117 0.642133
11.300000 0.611418 0.611431
11.350000 0.579190 0.579200
11.400000 0.545514 0.545522
11.450000 0.510475 0.510479
11.500000 0.474160 0.474160
11.550000 0.852525 0.852525
11.600000 0.851459 0.851464
11.650000 0.848265 0.848275
11.700000 0.842952 0.842964
11.750000 0.835531 0.835546
11.800000 0.826022 0.826039
11.850000 0.814448 0.814467
11.900000 0.800838 0.800858
11.950000 0.785227 0.785248
12.000000 0.767653 0.767674
12.050000 0.748161 0.748182
12.100000 0.726798 0.726819
12.150000 0.703619 0.703639
12.200000 0.678681 0.678699
12.250000 0.652047 0.652064
12.300000 0.623783 0.623798
12.350000 0.593960 0.593972
12.400000 0.562652 0.562662
12.450000 0.529938 0.529945
12.500000 0.495899 0.495903
12.550000 0.460621 0.460621
12.600000 0.825336 0.825336
12.650000 0.824304 0.824309
12.700000 0.821212 0.821221
12.750000 0.816068 0.816080
12.800000 0.808884 0.808899
12.850000 0.799678 0.799695
12.900000 0.788473 0.788492
12.950000 0.775298 0.775317
13.000000 0.760184 0.760204
13.050000 0.743171 0.743191
13.100000 0.724300 0.724320
13.150000 0.703619 0.703639
13.200000 0.681179 0.681198
13.250000 0.657036 0.657054
13.300000 0.631251 0.631268
13.350000 0.603889 0.603903
13.400000 0.575017 0.575029
13.450000 0.544708 0.544717
13.500000 0.513037 0.513044
13.550000 0.480084 0.480087
13.600000 0.445931 0.445931
13.650000 0.796084 0.796084
13.700000 0.795089 0.795093
13.750000 0.792107 0.792115
13.800000 0.787145 0.787156
13.850000 0.780215 0.780229
13.900000 0.771335 0.771351
13.950000 0.760528 0.760545
14.000000 0.747819 0.747838
14.050000 0.733242 0.733261
14.100000 0.716831 0.716850
14.150000 0.698629 0.698648
14.200000 0.678681 0.678699
14.250000 0.657036 0.657054
14.300000 0.633749 0.633766
14.350000 0.608878 0.608894
14.400000 0.582486 0.582499
14.450000 0.554637 0.554649
14.500000 0.525402 0.525411
14.550000 0.494854 0.494860
14.600000 0.463068 0.463072
14.650000 0.430126 0.430126
14.700000 0.764842 0.764842
14.750000 0.763886 0.763891
14.800000 0.761021 0.761029
14.850000 0.756254 0.756264
14.900000 0.749596 0.749609
14.950000 0.741065 0.741080
15.000000 0.730682 0.730697
15.050000 0.718472 0.718489
15.100000 0.704466 0.704484
15.150000 0.688700 0.688717
15.200000 0.671212 0.671230
15.250000 0.652047 0.652064
15.300000 0.631251 0.631268
15.350000 0.608878 0.608894
15.400000 0.584984 0.584998
15.450000 0.559627 0.559639
15.500000 0.532871 0.532881
15.550000 0.504783 0.504792
15.600000 0.475434 0.475440
15.650000 0.444896 0.444899
15.700000 0.413246 0.413246
15.750000 0.731689 0.731689
15.800000 0.730774 0.730778
15.850000 0.728033 0.728040
15.900000 0.723473 0.723482
15.950000 0.717104 0.717115
16.000000 0.708942 0.708955
16.050000 0.699009 0.699023
16.100000 0.687329 0.687343
16.150000 0.673930 0.673945
16.200000 0.658847 0.658863
16.250000 0.642117 0.642133
16.300000 0.623783 0.623798
16.350000 0.603889 0.603903
16.400000 0.582486 0.582499
16.450000 0.559627 0.559639
16.500000 0.535369 0.535380
16.550000 0.509773 0.509782
16.600000 0.482902 0.482910
16.650000 0.454825 0.454831
16.700000 0.425611 0.425614
16.750000 0.395333 0.395333
16.800000 0.696707 0.696707
16.850000 0.695836 0.695839
16.900000 0.693226 0.693232
16.950000 0.688883 0.688892
17.000000 0.682819 0.682829
17.050000 0.675048 0.675059
17.100000 0.665589 0.665601
17.150000 0.654467 0.654480
17.200000 0.641709 0.641723
17.250000 0.627348 0.627361
17.300000 0.611418 0.611431
17.350000 0.593960 0.593972
17.400000 0.575017 0.575029
17.450000 0.554637 0.554649
17.500000 0.532871 0.532881
17.550000 0.509773 0.509782
17.600000 0.485400 0.485408
17.650000 0.459815 0.459821
17.700000 0.433080 0.433085
17.750000 0.405263 0.405265
17.800000 0.376432 0.376432
17.850000 0.659983 0.659983
17.900000 0.659158 0.659161
17.950000 0.656686 0.656691
