#x       y        Exact    Computed
0.000000 0.000000 1.000000 1.000000
0.000000 0.111111 0.766044 0.766044
0.000000 0.222222 0.173648 0.173648
0.000000 0.333333 -0.500000 -0.500000
0.000000 0.444444 -0.939693 -0.939693
0.000000 0.555556 -0.939693 -0.939693
0.000000 0.666667 -0.500000 -0.500000
0.000000 0.777778 0.173648 0.173648
0.000000 0.888889 0.766044 0.766044
0.000000 1.000000 1.000000 1.000000
0.111111 0.000000 0.766044 0.766044
0.111111 0.111111 0.586824 0.594919
0.111111 0.222222 0.133022 0.137784
0.111111 0.333333 -0.383022 -0.384731
0.111111 0.444444 -0.719846 -0.726125
0.111111 0.555556 -0.719846 -0.726125
0.111111 0.666667 -0.383022 -0.384731
0.111111 0.777778 0.133022 0.137784
0.111111 0.888889 0.586824 0.594919
0.111111 1.000000 0.766044 0.766044
0.222222 0.000000 0.173648 0.173648
0.222222 0.111111 0.133022 0.137784
0.222222 0.222222 0.030154 0.037630
0.222222 0.333333 -0.086824 -0.077220
0.222222 0.444444 -0.163176 -0.152264
0.222222 0.555556 -0.163176 -0.152264
0.222222 0.666667 -0.086824 -0.077220
0.222222 0.777778 0.030154 0.037630
0.222222 0.888889 0.133022 0.137784
0.222222 1.000000 0.173648 0.173648
0.333333 0.000000 -0.500000 -0.500000
0.333333 0.111111 -0.383022 -0.384731
0.333333 0.222222 -0.086824 -0.077220
0.333333 0.333333 0.250000 0.275120
0.333333 0.444444 0.469846 0.505612
0.333333 0.555556 0.469846 0.505612
0.333333 0.666667 0.250000 0.275120
0.333333 0.777778 -0.086824 -0.077220
0.333333 0.888889 -0.383022 -0.384731
0.333333 1.000000 -0.500000 -0.500000
0.444444 0.000000 -0.939693 -0.939693
0.444444 0.111111 -0.719846 -0.726125
0.444444 0.222222 -0.163176 -0.152264
0.444444 0.333333 0.469846 0.505612
0.444444 0.444444 0.883022 0.935987
0.444444 0.555556 0.883022 0.935987
0.444444 0.666667 0.469846 0.505612
0.444444 0.777778 -0.163176 -0.152264
0.444444 0.888889 -0.719846 -0.726125
0.444444 1.000000 -0.939693 -0.939693
0.555556 0.000000 -0.939693 -0.939693
0.555556 0.111111 -0.719846 -0.726125
0.555556 0.222222 -0.163176 -0.152264
0.555556 0.333333 0.469846 0.505612
0.555556 0.444444 0.883022 0.935987
0.555556 0.555556 0.883022 0.935987
0.555556 0.666667 0.469846 0.505612
0.555556 0.777778 -0.163176 -0.152264
0.555556 0.888889 -0.719846 -0.726125
0.555556 1.000000 -0.939693 -0.939693
0.666667 0.000000 -0.500000 -0.500000
0.666667 0.111111 -0.383022 -0.384731
0.666667 0.222222 -0.086824 -0.077220
0.666667 0.333333 0.250000 0.275120
0.666667 0.444444 0.469846 0.505612
0.666667 0.555556 0.469846 0.505612
0.666667 0.666667 0.250000 0.275120
0.666667 0.777778 -0.086824 -0.077220
0.666667 0.888889 -0.383022 -0.384731
0.666667 1.000000 -0.500000 -0.500000
0.777778 0.000000 0.173648 0.173648
0.777778 0.111111 0.133022 0.137784
0.777778 0.222222 0.030154 0.037630
0.777778 0.333333 -0.086824 -0.077220
0.777778 0.444444 -0.163176 -0.152264
0.777778 0.555556 -0.163176 -0.152264
0.777778 0.666667 -0.086824 -0.077220
0.777778 0.777778 0.030154 0.037630
0.777778 0.888889 0.133022 0.137784
0.777778 1.000000 0.173648 0.173648
0.888889 0.000000 0.766044 0.766044
0.888889 0.111111 0.586824 0.594919
0.888889 0.222222 0.133022 0.137784
0.888889 0.333333 -0.383022 -0.384731
0.888889 0.444444 -0.719846 -0.726125
0.888889 0.555556 -0.719846 -0.726125
0.888889 0.666667 -0.383022 -0.384731
0.888889 0.777778 0.133022 0.137784
0.888889 0.888889 0.586824 0.594919
0.888889 1.000000 0.766044 0.766044
1.000000 0.000000 1.000000 1.000000
1.000000 0.111111 0.766044 0.766044
1.000000 0.222222 0.173648 0.173648
1.000000 0.333333 -0.500000 -0.500000
1.000000 0.444444 -0.939693 -0.939693
1.000000 0.555556 -0.939693 -0.939693
1.000000 0.666667 -0.500000 -0.500000
1.000000 0.777778 0.173648 0.173648
1.000000 0.888889 0.766044 0.766044
1.000000 1.000000 1.000000 1.000000
