n       L2_error          Time taken
10 0.048363774712789888 4.69613e-01
20 0.010938486376886172 1.61330e-01
25 0.0068774438985859786 1.59675e-01
30 0.0047215711304027536 1.62986e-01
40 0.0026191540735696879 1.69397e-01
50 0.0016626549449859143 1.71322e-01
75 0.00073114324949421789 2.02309e-01
100 0.00040912762081721579 2.34128e-01
150 0.00018089964007272406 4.10715e-01
200 0.00010149652086157709 6.65584e-01
n       L2_error          Time taken
10 0.048363774712789888 1.54809e-01
20 0.010938486376886172 1.61127e-01
25 0.0068774438985859786 1.56484e-01
30 0.0047215711304027536 1.61496e-01
40 0.0026191540735696879 1.68002e-01
50 0.0016626549449859143 1.71534e-01
75 0.00073114324949421789 2.11145e-01
100 0.00040912762081721579 2.34577e-01
150 0.00018089964007272406 3.63211e-01
200 0.00010149652086157709 6.06180e-01
