#N integral_computed e_rel time
10 0.825616 0.0206933 0.003
50 0.839819 0.00343109 0.003
100 0.841289 0.00167812 0.003
500 0.842423 0.000329821 0.003
1000 0.842562 0.000164553 0.002
5000 0.842673 3.28537e-05 0.003
10000 0.842687 1.64233e-05 0.003
50000 0.842698 3.28409e-06 0.003
100000 0.842699 1.64201e-06 0.004
1000000 0.842701 1.64198e-07 0.020
